,control,spacing,trial,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,hd_score,grid_spacing
68,False,68.0,4.0,0.0027175589195451984,25.0,60.0,True,78.93577674956254,0.7312591556982878,0.03743951096778252,78.93577674956254
69,False,98.0,2.0,0.22825811673711782,2.0,40.0,True,97.92744468938301,0.6541361282255908,0.04643800054823461,97.92744468938301
70,False,66.0,3.0,0.0027175589195451984,19.0,60.0,True,76.06435271032082,0.8181506669666911,0.0814056648684642,76.06435271032082
71,False,96.0,2.0,0.015153676540762776,3.0,40.0,True,97.00799640135402,0.7423935098623216,0.029562304307517537,97.00799640135402
72,False,90.0,1.0,0.0027175589195451984,15.0,60.0,True,92.1759672728288,0.6121116654375811,0.029416889505500487,92.1759672728288
73,False,88.0,3.0,0.0027175589195451984,23.0,60.0,True,91.57913076447565,0.5719297297338432,0.032087198467672766,91.57913076447565
74,False,64.0,3.0,0.0027175589195451984,15.0,60.0,True,72.99311698655569,0.9497939447197046,0.08606250737897976,72.99311698655569
75,False,36.0,4.0,,,,False,36.847129188229815,0.9024776454097244,0.016576721729269408,36.847129188229815
76,False,54.0,0.0,0.000536299530926331,33.0,80.0,True,57.01672271355452,0.9848996803977033,0.026339854591279216,57.01672271355452
77,False,4.0,0.0,,,,False,,,0.02693305264953037,
78,False,54.0,4.0,0.000536299530926331,33.0,80.0,True,56.12325486215497,0.8644100287379733,0.13930959964093914,56.12325486215497
79,False,80.0,3.0,0.0027175589195451984,21.0,60.0,True,87.89753374344696,0.6701987453744379,0.07844348047274487,87.89753374344696
80,False,76.0,1.0,0.0027175589195451984,17.0,60.0,True,87.23838965819911,0.8289562990604894,0.21125445504250523,87.23838965819911
81,False,70.0,3.0,0.0027175589195451984,16.0,60.0,True,80.65197741582956,0.6872470209339914,0.09751625349756789,80.65197741582956
82,False,84.0,1.0,0.0027175589195451984,28.0,60.0,True,90.56522716798614,0.7721087567955349,0.17000615345863315,90.56522716798614
83,False,46.0,3.0,,,,False,50.160130352499706,0.9829149223675409,0.005230566137034364,50.160130352499706
84,False,48.0,4.0,0.00010854035667974223,23.0,100.0,True,49.22835995052847,0.6503349454942693,0.028471536161903094,49.22835995052847
85,False,8.0,3.0,,,,False,126.89861410487228,-0.12704071583107207,0.01952743157092919,126.89861410487228
86,False,78.0,4.0,0.0027175589195451984,20.0,60.0,True,89.4411030459783,0.678153804358737,0.08614392513831962,89.4411030459783
87,False,10.0,4.0,,,,False,103.81259818223059,-0.12498016646557875,0.026466953917822743,103.81259818223059
88,False,6.0,3.0,,,,False,123.61594624477678,-0.754753401376173,0.017885266090320647,123.61594624477678
89,False,68.0,3.0,0.0028636016278173024,13.0,60.0,True,78.12681015717507,0.708499597991356,0.09653527163041632,78.12681015717507
90,False,88.0,0.0,0.014378938734372038,11.0,40.0,True,90.39908563056414,0.7492283910340016,0.13027629723772785,90.39908563056414
91,False,86.0,1.0,0.0027175589195451984,29.0,60.0,True,90.88043031435228,0.7606275986710803,0.16080642510293086,90.88043031435228
92,False,36.0,1.0,0.08357287701541317,3.0,20.0,True,37.53886000197709,1.1594350918299365,0.05566879554073851,37.53886000197709
93,False,50.0,2.0,0.000447255155988467,24.0,120.0,True,51.06643513052701,0.8812483379023092,0.032681250505566646,51.06643513052701
94,False,80.0,4.0,0.0027175589195451984,21.0,60.0,True,90.04898460799616,0.6523041436154138,0.08845850847632179,90.04898460799616
95,False,90.0,2.0,0.014378938734372038,4.0,40.0,True,93.11994153029386,0.796760197821779,0.021884676535637235,93.11994153029386
96,False,32.0,0.0,,,,False,60.66138393319559,-0.0201621262337863,0.05418306698480177,60.66138393319559
97,False,56.0,4.0,0.000536299530926331,30.0,80.0,True,57.46927092450295,0.8855413794987798,0.11843318016323154,57.46927092450295
98,False,44.0,2.0,0.00027114346108827726,37.0,160.0,True,45.42023135078344,1.0442528735632186,0.01049008737284201,45.42023135078344
99,False,48.0,3.0,0.000536299530926331,27.0,80.0,True,52.84021381045319,1.0264667549658224,0.021127965618021632,52.84021381045319
100,False,56.0,0.0,0.000536299530926331,24.0,80.0,True,58.98369241096469,0.9390471636442985,0.03716244430818729,58.98369241096469
101,False,30.0,0.0,,,,False,87.25563275021699,0.23846499162303703,0.04615058315588677,87.25563275021699
102,False,10.0,3.0,,,,False,107.50404698650468,-0.3256394499395006,0.051634627375111486,107.50404698650468
103,False,96.0,1.0,0.015307801319611411,7.0,40.0,True,96.74317231066908,0.5664604193338669,0.08671811776000564,96.74317231066908
104,False,30.0,3.0,,,,False,32.16555176439621,0.4301293454438911,0.04110360121970447,32.16555176439621
105,False,84.0,3.0,0.0027175589195451984,24.0,60.0,True,89.43271616943655,0.6015059844374147,0.04789654869440158,89.43271616943655
106,False,66.0,4.0,0.0027175589195451984,26.0,60.0,True,76.72731249717106,0.8012773904780175,0.01911342284768928,76.72731249717106
107,False,10.0,2.0,,,,False,127.98609201474677,-0.12904292747403195,0.03506040569142577,127.98609201474677
108,False,24.0,0.0,,,,False,77.90170881979446,0.23300970831445741,0.08833110578726175,77.90170881979446
109,False,18.0,3.0,,,,False,67.81126551954009,0.03255018591748422,0.03511645068555074,67.81126551954009
110,False,72.0,2.0,0.0027175589195451984,20.0,60.0,True,82.52588099197048,0.7153679364111545,0.25590637203099037,82.52588099197048
111,False,64.0,4.0,0.0027175589195451984,23.0,60.0,True,74.03925101040043,0.8717198584008492,0.012857709623269055,74.03925101040043
112,False,46.0,0.0,2.2335258194775122e-05,58.0,120.0,True,47.82525522871961,1.0517900821296717,0.11746680380938641,47.82525522871961
113,False,36.0,0.0,,,,False,35.64304552762599,0.4014223449660178,0.03905579007711036,35.64304552762599
114,False,20.0,3.0,,,,False,87.52024268646082,0.3659139971374956,0.05510366985541188,87.52024268646082
115,False,70.0,1.0,0.0027175589195451984,17.0,60.0,True,80.60345286312993,0.7098599937990417,0.23147958375886143,80.60345286312993
116,False,52.0,2.0,0.00012019181140761799,21.0,100.0,True,54.32686064908366,1.1935196008006583,0.13316643925887325,54.32686064908366
117,False,80.0,1.0,0.0027175589195451984,27.0,60.0,True,89.20839943005612,0.7865228270723468,0.18734409240791408,89.20839943005612
118,False,14.0,1.0,,,,False,103.05319583489026,-0.010773103094101302,0.02960044225994665,103.05319583489026
119,False,22.0,0.0,,,,False,65.50504020287724,0.06940099289662785,0.038199166456751164,65.50504020287724
120,False,88.0,4.0,0.0027175589195451984,25.0,60.0,True,92.20294930058834,0.5810460319476354,0.09443290793031067,92.20294930058834
121,False,62.0,2.0,0.009830341525616737,14.0,80.0,True,66.27040247600048,1.0416294980662901,0.17831631236773118,66.27040247600048
122,False,56.0,2.0,0.0005970635459214678,21.0,80.0,True,58.78924841480094,1.1482965449125722,0.12681925153075754,58.78924841480094
123,False,58.0,4.0,0.000536299530926331,22.0,80.0,True,59.003534827504474,0.8825067584362253,0.08869987859067331,59.003534827504474
124,False,16.0,3.0,,,,False,89.8586152537604,-0.2995491375644896,0.012741908650547246,89.8586152537604
125,False,30.0,4.0,,,,False,56.401668954559774,0.2600105644140399,0.06335072100017188,56.401668954559774
126,False,86.0,4.0,0.0027175589195451984,25.0,60.0,True,91.52591010348235,0.6102696632763538,0.0902857074071905,91.52591010348235
127,False,74.0,2.0,0.0027175589195451984,21.0,60.0,True,84.75187597611594,0.742197136104443,0.25081514599369464,84.75187597611594
128,False,42.0,2.0,9.46909981217701e-05,36.0,140.0,True,43.80295186722609,0.939675866625757,0.006576642368401309,43.80295186722609
129,False,38.0,2.0,0.002876089614146881,10.0,60.0,True,38.95895093910013,0.9960890709404613,0.011814245767322647,38.95895093910013
130,False,20.0,2.0,,,,False,95.59814456873082,0.11911672664610588,0.017348224205609587,95.59814456873082
131,False,26.0,0.0,,,,False,82.98721943121329,-0.16875328746129684,0.03072693862616591,82.98721943121329
132,False,60.0,0.0,0.000536299530926331,30.0,80.0,True,61.00123404574988,0.8839867367417842,0.14020814913411653,61.00123404574988
133,False,48.0,2.0,0.0052263757959835795,22.0,120.0,True,49.59916438153995,0.7979450479453662,0.015032421246134577,49.59916438153995
134,False,32.0,1.0,,,,False,31.50819451966713,0.6787942462191024,0.0607619028933611,31.50819451966713
135,False,46.0,2.0,0.047440580014121936,7.0,60.0,True,48.22697858916996,0.7836066423202118,0.007958919564845787,48.22697858916996
136,False,56.0,3.0,0.000536299530926331,23.0,80.0,True,58.888338243888356,1.1403983158497508,0.028342482535582775,58.888338243888356
137,False,90.0,0.0,0.0027175589195451984,27.0,60.0,True,91.87907444418147,0.6607281038352086,0.11336409985671278,91.87907444418147
138,False,44.0,0.0,2.259679872902673e-07,52.0,180.0,True,44.872849283856596,0.9957583792667999,0.014842250694584114,44.872849283856596
139,False,54.0,2.0,0.010257449008304387,22.0,80.0,True,56.5802095651685,1.17037827152051,0.12363989681843401,56.5802095651685
140,False,26.0,3.0,,,,False,96.612493862312,-0.27050521572831143,0.050496940879387275,96.612493862312
141,False,34.0,2.0,,,,False,33.055759680091015,0.9412713941556083,0.07746963788444279,33.055759680091015
142,False,80.0,2.0,0.0027175589195451984,22.0,60.0,True,89.29094104939857,0.620491994263463,0.20988193815122838,89.29094104939857
143,False,86.0,2.0,0.0027175589195451984,23.0,60.0,True,93.02989453095361,0.5028840281316308,0.20022242262117002,93.02989453095361
144,False,34.0,3.0,,,,False,34.16391920062679,1.0889110889110885,0.04256763861707615,34.16391920062679
145,False,58.0,3.0,0.0005627577482977192,19.0,80.0,True,60.66399523196537,1.1198121597186523,0.035140646050308255,60.66399523196537
146,False,42.0,1.0,4.650663710441662e-06,30.0,140.0,True,44.459164570174316,1.0573924674998934,0.037454368383536815,44.459164570174316
147,False,16.0,4.0,,,,False,71.63466537035644,-0.21244816841798606,0.04171340401434877,71.63466537035644
148,False,68.0,2.0,0.002720530746152272,15.0,60.0,True,78.4097017449067,0.7967916633771648,0.25226853728208265,78.4097017449067
149,False,74.0,1.0,0.0027175589195451984,20.0,60.0,True,85.45336554835785,0.8267308087758098,0.22113956913856597,85.45336554835785
