,control,trial,length_minutes,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score,id,corr_between_frac_0_01
104,False,15.0,300.0,0.00010854035667974223,74,100,True,51.72386552840925,1.1762753680810716,5.716299653154471,0.05348363758540797,300.0_15.0,0.875
105,False,9.0,300.0,0.00010854035667974223,58,100,True,49.26602833062787,0.8312075911973045,5.804247889354599,0.06117864136091424,300.0_9.0,0.7916666666666666
106,False,8.0,300.0,2.2335258194775122e-05,88,120,True,51.92605478216599,1.0635009288329287,5.536213331493574,0.029931326385542575,300.0_8.0,0.7714285714285715
107,False,3.0,300.0,2.2335258194775122e-05,72,120,True,51.162483695892114,1.1664587155801067,5.536213331493574,0.017583178433031105,300.0_3.0,0.8
108,False,4.0,55.0,4.650663710441662e-06,64,140,True,48.94449706158048,0.9933443599707501,5.397206712473788,0.09119088270266996,55.0_4.0,0.7708333333333334
109,False,13.0,55.0,0.00010854035667974223,51,100,True,50.83249689911801,0.9249126485744164,5.536213331493574,0.14967469957461557,55.0_13.0,0.8333333333333334
110,False,12.0,55.0,4.650663710441662e-06,52,140,True,48.47785173117696,1.091966977246138,5.350068633107469,0.08959233763407776,55.0_12.0,0.7083333333333334
111,False,5.0,55.0,2.2335258194775122e-05,57,120,True,50.207834070421015,1.0243544226672328,5.443936646892927,0.03376481177033946,55.0_5.0,0.7428571428571429
112,False,14.0,55.0,2.2335258194775122e-05,52,120,True,49.230337466254426,0.8643785964018873,5.760441618735983,0.07856550103080948,55.0_14.0,0.7142857142857143
113,False,9.0,55.0,2.2335258194775122e-05,62,120,True,47.257888359936175,0.8455492735671231,5.716299653154471,0.09828061645982075,55.0_9.0,0.7428571428571429
114,False,3.0,55.0,4.650663710441662e-06,38,140,True,48.755943113647994,1.0953265811485036,5.254524007228157,0.03829449371997374,55.0_3.0,0.7291666666666666
115,False,8.0,55.0,2.2335258194775122e-05,47,120,True,49.01053423029616,1.0229960006955332,5.350068633107469,0.05174165568399908,55.0_8.0,0.8571428571428571
116,False,2.0,55.0,0.00010854035667974223,29,100,True,51.04164764865814,0.9556624521553954,5.397206712473788,0.14154739427378357,55.0_2.0,0.5
117,False,12.0,50.0,4.650663710441662e-06,54,140,True,48.78695711059063,1.056182366622677,5.3025115238676035,0.09825993349609637,50.0_12.0,0.7083333333333334
118,False,11.0,50.0,2.2335258194775122e-05,50,120,True,50.82722147296239,1.0228472718215404,5.007693376343903,0.06907054761405751,50.0_11.0,0.8571428571428571
119,False,0.0,50.0,4.650663710441662e-06,56,140,True,49.68309479906669,1.0631352999575097,5.157209585242165,0.11299802567448156,50.0_0.0,0.875
120,False,17.0,50.0,4.650663710441662e-06,67,140,True,50.43200053839544,1.0819988225242,5.007693376343903,0.07910289826411979,50.0_17.0,0.8125
121,False,2.0,50.0,0.00010854035667974223,26,100,True,51.33946141022246,0.9224576128250501,5.397206712473788,0.15986392758003576,50.0_2.0,0.5416666666666666
122,False,9.0,50.0,2.3549304528025793e-05,60,120,True,47.681331107856224,0.7819501821505667,5.716299653154471,0.08739239289589433,50.0_9.0,0.8
123,False,3.0,50.0,4.652742507465396e-06,33,140,True,49.08673511564574,1.0894632266922764,5.157209585242165,0.03050470680298888,50.0_3.0,0.6875
124,False,8.0,50.0,2.2335258194775122e-05,47,120,True,49.139740178483784,0.9972679274339667,5.350068633107469,0.04937056337905545,50.0_8.0,0.8
125,False,13.0,50.0,0.00010854035667974223,46,100,True,51.36498048678678,0.87491924295434,5.536213331493574,0.14960683398986074,50.0_13.0,0.625
126,False,5.0,50.0,2.2335258194775122e-05,56,120,True,50.43715468084227,0.9841290109780769,5.443936646892927,0.04174862124451709,50.0_5.0,0.8
127,False,19.0,50.0,4.650663710441662e-06,72,140,True,51.136024630255235,1.1077905399468093,5.206094181276915,0.07652715961000613,50.0_19.0,0.7916666666666666
128,False,7.0,50.0,2.2335258194775122e-05,51,120,True,50.14017252873211,1.014645506996418,5.157209585242165,0.0934838948701306,50.0_7.0,0.8571428571428571
129,False,3.0,4.0,0.9689110971472831,0,60,True,49.519161795633124,0.8666717882194326,5.397206712473788,0.026329769066814612,4.0_3.0,0.625
